topic,news_headline,label
Environment and renewable energy,Global co-op after years flips old parking lot into solar microgrid according to locals,uplifting
Environment and renewable energy,Coalition project amid debate plants native trees along bus corridors initial reports,uplifting
Environment and renewable energy,Wind array reportedly keeps lights on during storm season sources say,uplifting
Environment and renewable energy,Neighborhood roofs after years supply surplus power to food bank onlookers say,uplifting
Environment and renewable energy,Farmers market may pilots solar-powered cold storage sources say,uplifting
Environment and renewable energy,Grassroots co-op reportedly flips old parking lot into solar microgrid according to locals,uplifting
Environment and renewable energy,Community project quietly plants native trees along bus corridors onlookers say,uplifting
Environment and renewable energy,Wind array reportedly keeps lights on during storm season it seems,uplifting
Environment and renewable energy,Neighborhood roofs despite hurdles supply surplus power to food bank early signs,uplifting
Environment and renewable energy,Farmers market amid debate pilots solar-powered cold storage observers note,uplifting
Environment and renewable energy,Small-town co-op on track to flips old parking lot into solar microgrid initial reports,uplifting
Environment and renewable energy,Family project despite hurdles plants native trees along bus corridors sources say,uplifting
Environment and renewable energy,Wind array could keeps lights on during storm season sources say,uplifting
Environment and renewable energy,Neighborhood roofs set to supply surplus power to food bank it seems,uplifting
Environment and renewable energy,Farmers market despite hurdles pilots solar-powered cold storage by some accounts,uplifting
Environment and renewable energy,Global co-op quietly flips old parking lot into solar microgrid onlookers say,uplifting
Environment and renewable energy,Volunteer project could plants native trees along bus corridors observers note,uplifting
Environment and renewable energy,Wind array surprisingly keeps lights on during storm season sources say,uplifting
Environment and renewable energy,Neighborhood roofs may supply surplus power to food bank it seems,uplifting
Environment and renewable energy,Farmers market could pilots solar-powered cold storage sources say,uplifting
Environment and renewable energy,Coalition co-op poised to flips old parking lot into solar microgrid by some accounts,uplifting
Environment and renewable energy,Youth project after years plants native trees along bus corridors early signs,uplifting
Environment and renewable energy,Wind array set to keeps lights on during storm season initial reports,uplifting
Environment and renewable energy,Neighborhood roofs after years supply surplus power to food bank sources say,uplifting
Environment and renewable energy,Farmers market surprisingly pilots solar-powered cold storage initial reports,uplifting
Environment and renewable energy,Public co-op appears to flips old parking lot into solar microgrid onlookers say,uplifting
Environment and renewable energy,Grassroots project on track to plants native trees along bus corridors observers note,uplifting
Environment and renewable energy,Wind array at last keeps lights on during storm season initial reports,uplifting
Environment and renewable energy,Neighborhood roofs at last supply surplus power to food bank observers note,uplifting
Environment and renewable energy,Farmers market poised to pilots solar-powered cold storage sources say,uplifting
Environment and renewable energy,Family co-op reportedly flips old parking lot into solar microgrid initial reports,uplifting
Environment and renewable energy,Private project after years plants native trees along bus corridors onlookers say,uplifting
Environment and renewable energy,Wind array at first glance keeps lights on during storm season early signs,uplifting
Environment and renewable energy,Neighborhood roofs on track to supply surplus power to food bank initial reports,uplifting
Environment and renewable energy,Farmers market amid debate pilots solar-powered cold storage onlookers say,uplifting
Environment and renewable energy,Student co-op at first glance flips old parking lot into solar microgrid observers note,uplifting
Environment and renewable energy,Small-town project reportedly plants native trees along bus corridors by some accounts,uplifting
Environment and renewable energy,Wind array could keeps lights on during storm season sources say,uplifting
Environment and renewable energy,Neighborhood roofs appears to supply surplus power to food bank onlookers say,uplifting
Environment and renewable energy,Farmers market surprisingly pilots solar-powered cold storage onlookers say,uplifting
Environment and renewable energy,Public co-op poised to flips old parking lot into solar microgrid it seems,uplifting
Environment and renewable energy,Local project quietly plants native trees along bus corridors sources say,uplifting
Environment and renewable energy,Wind array after years keeps lights on during storm season observers note,uplifting
Environment and renewable energy,Neighborhood roofs could supply surplus power to food bank onlookers say,uplifting
Environment and renewable energy,Farmers market appears to pilots solar-powered cold storage according to locals,uplifting
Environment and renewable energy,Coalition co-op amid debate flips old parking lot into solar microgrid early signs,uplifting
Environment and renewable energy,Global project quietly plants native trees along bus corridors it seems,uplifting
Environment and renewable energy,Wind array at last keeps lights on during storm season early signs,uplifting
Environment and renewable energy,Neighborhood roofs set to supply surplus power to food bank according to locals,uplifting
Environment and renewable energy,Farmers market surprisingly pilots solar-powered cold storage by some accounts,uplifting
Environment and renewable energy,Global co-op may flips old parking lot into solar microgrid observers note,uplifting
Environment and renewable energy,Volunteer project at first glance plants native trees along bus corridors initial reports,uplifting
Environment and renewable energy,Wind array may keeps lights on during storm season sources say,uplifting
Environment and renewable energy,Neighborhood roofs could supply surplus power to food bank sources say,uplifting
Environment and renewable energy,Farmers market despite hurdles pilots solar-powered cold storage early signs,uplifting
Environment and renewable energy,Private co-op after years flips old parking lot into solar microgrid early signs,uplifting
Environment and renewable energy,Startup project on track to plants native trees along bus corridors initial reports,uplifting
Environment and renewable energy,Wind array at first glance keeps lights on during storm season it seems,uplifting
Environment and renewable energy,Neighborhood roofs poised to supply surplus power to food bank by some accounts,uplifting
Environment and renewable energy,Farmers market at first glance pilots solar-powered cold storage sources say,uplifting
Environment and renewable energy,Grassroots co-op reportedly flips old parking lot into solar microgrid sources say,uplifting
Environment and renewable energy,Local project set to plants native trees along bus corridors initial reports,uplifting
Environment and renewable energy,Wind array surprisingly keeps lights on during storm season according to locals,uplifting
Environment and renewable energy,Neighborhood roofs could supply surplus power to food bank initial reports,uplifting
Environment and renewable energy,Farmers market could pilots solar-powered cold storage observers note,uplifting
Environment and renewable energy,Grassroots co-op could flips old parking lot into solar microgrid it seems,uplifting
Environment and renewable energy,Private project after years plants native trees along bus corridors initial reports,uplifting
Environment and renewable energy,Wind array quietly keeps lights on during storm season by some accounts,uplifting
Environment and renewable energy,Neighborhood roofs reportedly supply surplus power to food bank onlookers say,uplifting
Environment and renewable energy,Farmers market reportedly pilots solar-powered cold storage sources say,uplifting
Environment and renewable energy,Startup co-op after years flips old parking lot into solar microgrid observers note,uplifting
Environment and renewable energy,Startup project poised to plants native trees along bus corridors by some accounts,uplifting
Environment and renewable energy,Wind array at last keeps lights on during storm season sources say,uplifting
Environment and renewable energy,Neighborhood roofs may supply surplus power to food bank observers note,uplifting
Environment and renewable energy,Farmers market despite hurdles pilots solar-powered cold storage initial reports,uplifting
Environment and renewable energy,Community co-op reportedly flips old parking lot into solar microgrid by some accounts,uplifting
Environment and renewable energy,Startup project appears to plants native trees along bus corridors early signs,uplifting
Environment and renewable energy,Wind array on track to keeps lights on during storm season initial reports,uplifting
Environment and renewable energy,Neighborhood roofs at last supply surplus power to food bank by some accounts,uplifting
Environment and renewable energy,Farmers market despite hurdles pilots solar-powered cold storage according to locals,uplifting
Environment and renewable energy,Local co-op after years flips old parking lot into solar microgrid sources say,uplifting
Environment and renewable energy,Grassroots project at first glance plants native trees along bus corridors early signs,uplifting
Environment and renewable energy,Wind array poised to keeps lights on during storm season by some accounts,uplifting
Environment and renewable energy,Neighborhood roofs reportedly supply surplus power to food bank according to locals,uplifting
Environment and renewable energy,Farmers market appears to pilots solar-powered cold storage according to locals,uplifting
Environment and renewable energy,Coalition co-op poised to flips old parking lot into solar microgrid by some accounts,uplifting
